age,annotation_id,annotator,created_at,expression,gender,id,image,lead_time,updated_at
senior,115,1,2024-06-26T18:19:41.824208Z,angry_faces,male,215,/Users/almamidany/Desktop/labeled/angry_faces/image0003276.jpg,3.956,2024-06-26T18:19:41.824235Z
child,117,1,2024-06-26T18:19:51.737279Z,angry_faces,male,217,/Users/almamidany/Desktop/labeled/angry_faces/image0003670.jpg,3.749,2024-06-26T18:19:51.737306Z
adult,118,1,2024-06-26T18:20:01.575268Z,angry_faces,male,218,/Users/almamidany/Desktop/labeled/angry_faces/image0003762.jpg,9.655,2024-06-26T18:20:01.575296Z
adult,120,1,2024-06-26T18:20:10.445365Z,angry_faces,male,220,/Users/almamidany/Desktop/labeled/angry_faces/image0003836.jpg,4.406,2024-06-26T18:20:10.445390Z
teenager,121,1,2024-06-26T18:20:15.584326Z,angry_faces,male,221,/Users/almamidany/Desktop/labeled/angry_faces/image0004021.jpg,4.957,2024-06-26T18:20:15.584354Z
senior,124,1,2024-06-26T18:20:29.841205Z,angry_faces,male,224,/Users/almamidany/Desktop/labeled/angry_faces/image0004496.jpg,5.624,2024-06-26T18:20:29.841248Z
adult,125,1,2024-06-26T18:20:34.003278Z,angry_faces,male,225,/Users/almamidany/Desktop/labeled/angry_faces/image0004816.jpg,3.986,2024-06-26T18:20:34.003303Z
child,126,1,2024-06-26T18:20:38.795398Z,angry_faces,male,226,/Users/almamidany/Desktop/labeled/angry_faces/image0004949.jpg,4.62,2024-06-26T18:20:38.795424Z
adult,127,1,2024-06-26T18:20:43.041050Z,angry_faces,male,227,/Users/almamidany/Desktop/labeled/angry_faces/image0004970.jpg,4.068,2024-06-26T18:20:43.041075Z
teenager,129,1,2024-06-26T18:20:54.069750Z,angry_faces,male,229,/Users/almamidany/Desktop/labeled/angry_faces/image0005267.jpg,4.449,2024-06-26T18:20:54.069773Z
adult,132,1,2024-06-26T18:21:07.013765Z,angry_faces,male,232,/Users/almamidany/Desktop/labeled/angry_faces/image0005315.jpg,4.404,2024-06-26T18:21:07.013792Z
senior,133,1,2024-06-26T18:21:14.384450Z,angry_faces,male,233,/Users/almamidany/Desktop/labeled/angry_faces/image0005505.jpg,7.208,2024-06-26T18:21:14.384519Z
senior,134,1,2024-06-26T18:21:18.645433Z,angry_faces,male,234,/Users/almamidany/Desktop/labeled/angry_faces/image0005660.jpg,4.077,2024-06-26T18:21:18.645458Z
senior,135,1,2024-06-26T18:21:22.846337Z,angry_faces,male,235,/Users/almamidany/Desktop/labeled/angry_faces/image0005921.jpg,4.031,2024-06-26T18:21:22.846365Z
senior,136,1,2024-06-26T18:21:28.692653Z,angry_faces,male,236,/Users/almamidany/Desktop/labeled/angry_faces/image0005935.jpg,5.653,2024-06-26T18:21:28.692683Z
adult,137,1,2024-06-26T18:21:33.729314Z,angry_faces,male,237,/Users/almamidany/Desktop/labeled/angry_faces/image0006020.jpg,4.875,2024-06-26T18:21:33.729341Z
adult,141,1,2024-06-26T18:21:54.946706Z,angry_faces,male,241,/Users/almamidany/Desktop/labeled/angry_faces/image0006322.jpg,4.766,2024-06-26T18:21:54.946736Z
adult,143,1,2024-06-26T18:22:03.424981Z,angry_faces,male,243,/Users/almamidany/Desktop/labeled/angry_faces/image0006582.jpg,3.759,2024-06-26T18:22:03.425007Z
adult,144,1,2024-06-26T18:22:09.322361Z,angry_faces,male,244,/Users/almamidany/Desktop/labeled/angry_faces/image0006597.jpg,5.721,2024-06-26T18:22:09.322388Z
adult,145,1,2024-06-26T18:22:13.706781Z,angry_faces,male,245,/Users/almamidany/Desktop/labeled/angry_faces/image0006608.jpg,4.222,2024-06-26T18:22:13.706806Z
adult,146,1,2024-06-26T18:22:18.421346Z,angry_faces,male,246,/Users/almamidany/Desktop/labeled/angry_faces/image0006816.jpg,4.54,2024-06-26T18:22:18.421373Z
adult,148,1,2024-06-26T18:22:27.784531Z,angry_faces,male,248,/Users/almamidany/Desktop/labeled/angry_faces/image0006965.jpg,4.838,2024-06-26T18:22:27.784556Z
child,149,1,2024-06-26T18:22:33.986366Z,angry_faces,male,249,/Users/almamidany/Desktop/labeled/angry_faces/image0006967.jpg,6.028,2024-06-26T18:22:33.986392Z
senior,150,1,2024-06-26T18:22:38.096544Z,angry_faces,male,250,/Users/almamidany/Desktop/labeled/angry_faces/image0006976.jpg,3.922,2024-06-26T18:22:38.096570Z
teenager,152,1,2024-06-26T18:22:47.288419Z,angry_faces,male,252,/Users/almamidany/Desktop/labeled/angry_faces/image0007993.jpg,4.606,2024-06-26T18:22:47.288444Z
adult,153,1,2024-06-26T18:22:51.644406Z,angry_faces,male,253,/Users/almamidany/Desktop/labeled/angry_faces/image0008218.jpg,4.157,2024-06-26T18:22:51.644434Z
child,154,1,2024-06-26T18:22:56.160764Z,angry_faces,male,254,/Users/almamidany/Desktop/labeled/angry_faces/image0008345.jpg,4.346,2024-06-26T18:22:56.160789Z
senior,156,1,2024-06-26T18:23:05.351886Z,angry_faces,male,256,/Users/almamidany/Desktop/labeled/angry_faces/image0008877.jpg,3.898,2024-06-26T18:23:05.351912Z
adult,160,1,2024-06-26T18:23:24.817148Z,angry_faces,male,260,/Users/almamidany/Desktop/labeled/angry_faces/image0009216.jpg,5.469,2024-06-26T18:23:24.817176Z
senior,343,1,2024-06-26T21:33:46.878545Z,angry_faces,male,844,/Users/almamidany/Desktop/labeled/angry_faces/image0001217.jpg,5.546,2024-06-26T21:33:46.878576Z
